MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,EQ,GOKUL,GOKUL REFOILS & SOLV LTD,        31.45,        31.50,        32.25,        31.25,        31.35,                  5641295.50,178050,N, ,1575,        49.95,        26.10
N,EQ,GOKULAGRO,GOKUL AGRO RESOURCES LTD,        85.25,        87.50,        87.60,        85.45,        85.75,                  4862707.70,56289,N, ,766,       137.15,        41.75
N,EQ,GOLDIAM,GOLDIAM INTERNATIONAL LTD,       123.20,       125.55,       126.85,       123.50,       124.10,                  7954094.50,63586,N, ,1624,      1149.00,       117.05
N,EQ,GOLDTECH,GOLDSTONE TECHNOLOGIES LT,        50.55,        52.50,        52.50,        50.10,        50.40,                  1266975.45,25070,N, ,347,        84.70,        42.35
N,EQ,GOODLUCK,GOODLUCK INDIA LIMITED,       478.15,       481.35,       488.70,       480.45,       485.25,                 32354378.35,66707,N, ,2510,       552.00,       236.85
N,EQ,GOODYEAR,GOODYEAR INDIA LIMITED,      1009.50,      1018.00,      1048.00,      1018.00,      1038.50,                 17846051.15,17229,N, ,2720,      1204.90,       840.00
N,EQ,GPIL,GODAWARI POW & ISP LTD,       274.60,       281.85,       281.85,       272.90,       275.20,                 76299453.15,276678,N, ,5311,      1495.70,       223.00
N,EQ,GPPL,GUJARAT PIPAVAV PORT LTD,        86.75,        87.50,        89.10,        87.30,        88.50,                 70462267.05,800719,N, ,10492,       119.00,        70.30
N,EQ,GPTINFRA,GPT INFRAPROJECTS LTD,       129.30,       134.00,       138.75,       131.00,       134.00,                 26902548.65,199231,N, ,4245,       140.85,        67.50
N,EQ,GRANULES,GRANULES INDIA LIMITED,       347.75,       351.00,       358.55,       347.50,       357.30,                969514381.25,2749343,N, ,28573,       362.40,       226.95
N,EQ,GRAPHITE,GRAPHITE INDIA LTD,       359.25,       365.00,       367.70,       361.05,       362.90,                 65390861.65,179950,N, ,5419,       634.35,       348.25
N,EQ,GRAUWEIL,GRAUER & WEIL IND LTD,        70.40,        71.80,        71.80,        69.60,        70.65,                 14279514.65,202338,N, ,3097,        84.70,        43.30
N,EQ,GRAVITA,GRAVITA INDIA LIMITED,       313.15,       316.75,       327.00,       316.15,       323.25,                 63273569.80,197260,N, ,9026,       398.00,       188.45
N,EQ,GREAVESCOT,GREAVES COTTON LTD.,       146.15,       148.25,       154.00,       148.25,       151.30,                169626641.00,1119965,N, ,10761,       258.90,       129.05
